permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
response,27,69,5.814178703879049,0.22075494080858044,5.140171311976442,Bootstrap10
response,28,70,5.618355760337466,0.2686501319157188,4.663811042675201,Bootstrap01
response,28,70,9.48994656513313,0.04470183148927153,8.971721294488999,Bootstrap02
response,28,70,8.828326848783274,0.29078102879122997,7.437133526364237,Bootstrap03
response,28,70,6.960521796424801,0.015463137075304308,5.013017896784363,Bootstrap04
response,28,70,8.337323094052591,0.12703056299186202,7.408121677457117,Bootstrap05
response,28,70,8.165936296702638,0.005075039800075602,7.0087018331258015,Bootstrap06
response,28,70,6.5792628499708,0.5025042612883094,5.3185540246599725,Bootstrap07
response,28,70,7.723351254039711,0.04288046491860271,6.23684194233989,Bootstrap08
response,28,70,7.272174305514202,0.2825540843723637,6.1531168547729065,Bootstrap09
response,28,70,8.753768144737238,0.0230496929518723,7.422360621295363,Bootstrap10
response,29,71,9.802255977455598,0.19646127329219432,6.994569329263085,Bootstrap01
response,29,71,8.44323333655123,0.053129388362364534,6.4055311939349044,Bootstrap02
response,29,71,7.553145191435946,9.370515991275697e-4,6.056598451116447,Bootstrap03
response,29,71,7.2473549201793945,0.06255417339854955,5.84711744344132,Bootstrap04
response,29,71,7.762344972428214,0.03698414205471245,7.474296063432523,Bootstrap05
response,29,71,6.442163162838824,0.04893118564193782,4.872926226816324,Bootstrap06
response,29,71,8.017224111208394,0.009537630809358738,6.431508734795636,Bootstrap07
response,29,71,9.009814769167413,0.018099724273541416,7.036168898581312,Bootstrap08
response,29,71,7.060519561882514,0.10781742494291822,6.42568588514588,Bootstrap09
response,29,71,7.380046861868936,0.0031119611954795105,5.920373352782591,Bootstrap10
response,30,72,8.308518832672002,0.38256924152340266,5.923514119827121,Bootstrap01
response,30,72,3.902720836520195,0.04592834555905661,3.355690571151151,Bootstrap02
response,30,72,6.697910077344926,0.14750733721379616,4.337608381648883,Bootstrap03
response,30,72,8.335670471939082,0.6058444113188238,6.907364761683907,Bootstrap04
response,30,72,7.305206088413363,0.018276157318115206,5.372724366050719,Bootstrap05
response,30,72,8.33903715514586,0.2700447431217395,7.211625344841709,Bootstrap06
response,30,72,10.617608914371418,0.026476306922977207,8.500344047227584,Bootstrap07
response,30,72,8.59417609248275,0.20500234565527012,6.5535566354141945,Bootstrap08
response,30,72,9.801329181447189,0.6134014400980957,7.417529316943194,Bootstrap09
response,30,72,6.7684500879617,0.09671081143016591,5.754437573744111,Bootstrap10
response,31,73,7.106376410574523,0.4714246113185545,6.364690215812877,Bootstrap01
response,31,73,6.498397154028335,0.016893454889181723,4.904253641758261,Bootstrap02
response,31,73,4.523110833330185,0.12715040168756409,4.220399109689159,Bootstrap03
response,31,73,6.708607308450374,0.031242022767773072,6.105828226985261,Bootstrap04
response,31,73,7.299471025212486,0.04799137179916856,6.546075123789859,Bootstrap05
response,31,73,6.816806787990264,0.013651975768109456,6.0752221726074955,Bootstrap06
response,31,73,7.774821442082824,0.4765958343866691,7.341469725231372,Bootstrap07
response,31,73,8.22353536705305,0.01869351319020438,7.5478158328462275,Bootstrap08
response,31,73,9.217326750479971,0.09696243938224235,7.677378110399667,Bootstrap09
response,31,73,6.894359820511225,0.006969227991241051,6.1119094897041535,Bootstrap10
response,32,74,7.519502079104931,0.3529084775248237,5.17354887550858,Bootstrap01
response,32,74,10.074317322850458,0.08201074188200344,6.699539912950546,Bootstrap02
response,32,74,8.279854879122261,0.4262146111923673,7.390283069854776,Bootstrap03
response,32,74,7.883606889089251,0.0026896451291909063,4.993272495096481,Bootstrap04
response,32,74,6.834882144773067,0.1614292974970868,4.351180723552164,Bootstrap05
response,32,74,6.12138801548295,0.1631297272892458,3.9037149950396963,Bootstrap06
response,32,74,9.717697521784165,0.08397634045753384,7.699061805910745,Bootstrap07
response,32,74,7.115129658912473,0.34986993818625367,5.07636067343441,Bootstrap08
response,32,74,8.38675382011446,3.1825120202859054e-5,6.743925608402712,Bootstrap09
response,32,74,6.785239107024691,0.1835455648829119,5.154720446570186,Bootstrap10
response,33,75,6.629610166294551,0.30427030873235716,5.14522103822532,Bootstrap01
response,33,75,9.442219408217815,1.5986443795642871e-07,7.734838980756535,Bootstrap02
response,33,75,7.441323362931318,0.32244991593011607,6.412984722899866,Bootstrap03
response,33,75,8.238262659835472,0.21455776032911614,7.0484015602136845,Bootstrap04
response,33,75,8.370710393545336,0.35482793295924764,6.138108882955071,Bootstrap05
response,33,75,5.540584935922229,0.04794784746864274,4.903087504348612,Bootstrap06
response,33,75,8.598457482277249,0.11338666745944209,8.161072208649964,Bootstrap07
response,33,75,8.701348640509602,0.0066965818826320855,7.217812145559246,Bootstrap08
response,33,75,7.1420140694715775,0.00865431977092696,6.469164159606413,Bootstrap09
response,33,75,8.329147875106264,0.0010706883307959796,7.358581273918685,Bootstrap10
response,34,76,7.97164670928388,0.05684426454300957,7.140042456042551,Bootstrap01
response,34,76,7.58571621418249,0.339623843476724,5.8374237918988,Bootstrap02
response,34,76,7.1882004044757455,0.27261115619461046,5.097457585882317,Bootstrap03
response,34,76,6.826314121485032,0.0012354474103010314,5.169786659376257,Bootstrap04
response,34,76,3.8818553847503847,0.4168251230949643,2.907152885395514,Bootstrap05
response,34,76,7.564348592627641,0.0032457787137091724,6.581521968493735,Bootstrap06
response,34,76,8.293467527442218,0.05264121449235495,6.054660528687711,Bootstrap07
response,34,76,6.404971095627165,0.24291148183157932,5.561586754807931,Bootstrap08
response,34,76,4.930542884449598,0.05223377294385547,3.887102919261322,Bootstrap09
response,34,76,8.102973236623358,0.0036726201310053673,6.582803723395837,Bootstrap10
response,35,77,5.877266712659419,0.1803311626512103,4.357617458065966,Bootstrap01
response,35,77,6.5897909890152055,0.11275485101688766,5.511114401440919,Bootstrap02
